field,centre-ra,centre-dec
VAST_0021+00,5.3731333333,0
VAST_0021-04,5.3731333333,-4.6763416667
VAST_0042+00,10.7462666667,0
VAST_0042-04,10.7462666667,-4.6763416667
VAST_0104+00,16.1194,0
VAST_0104-04,16.1194,-4.6763416667
VAST_0113-72,18.33995,-72.7628444444
VAST_0125+00,21.4925333333,0
VAST_0125-04,21.4925333333,-4.6763416667
VAST_0147+00,26.8656708333,0
VAST_0147-04,26.8656708333,-4.6763416667
VAST_0208+00,32.2388041667,0
VAST_0208-04,32.2388041667,-4.6763416667
VAST_0230+00,37.6119375,0
VAST_0230-04,37.6119375,-4.6763416667
VAST_0251+00,42.9850708333,0
VAST_0251-04,42.9850708333,-4.6763416667
VAST_0313+00,48.3582083333,0
VAST_0313-04,48.3582083333,-4.6763416667
VAST_0334+00,53.7313416667,0
VAST_0334-04,53.7313416667,-4.6763416667
VAST_0352-64,58.0645125,-64.9036555556
VAST_0356+00,59.104475,0
VAST_0356-04,59.104475,-4.6763416667
VAST_0438-64,69.6774166667,-64.9036555556
VAST_0504-69,76.1538458333,-69.4746722222
VAST_0525-64,81.2903208333,-64.9036555556
VAST_0559-69,90,-69.4746722222
VAST_1724-28,261,-27.9695
VAST_1731-23,262.8571416667,-23.3209638889
VAST_1735-32,263.7931,-32.6116194444
VAST_1748-18,267.1875,-18.6677202778
VAST_1748-28,267,-27.9695
VAST_1754-23,268.571425,-23.3209638889
VAST_1800-32,270,-32.6116194444
VAST_1812-28,273,-27.9695
VAST_2003+00,300.8955208333,0
VAST_2003-04,300.8955208333,-4.6763416667
VAST_2004-41,301.1538458333,-41.8789111111
VAST_2006-55,301.5,-55.7248361111
VAST_2014-46,303.75,-46.5029611111
VAST_2025+00,306.2686541667,0
VAST_2025-04,306.2686541667,-4.6763416667
VAST_2027-51,306.8181791667,-51.1184433333
VAST_2032-41,308.0769208333,-41.8789111111
VAST_2034-60,308.571425,-60.3217138889
VAST_2042-55,310.5,-55.7248361111
VAST_2044-46,311.25,-46.5029611111
VAST_2046+00,311.6417875,0
VAST_2046-04,311.6417875,-4.6763416667
VAST_2054-64,313.5483833333,-64.9036555556
VAST_2059-41,315,-41.8789111111
VAST_2059-51,315,-51.1184433333
VAST_2108+00,317.014925,0
VAST_2108-04,317.014925,-4.6763416667
VAST_2114-46,318.75,-46.5029611111
VAST_2115-60,318.8571416667,-60.3217138889
VAST_2118-55,319.5,-55.7248361111
VAST_2127-41,321.923075,-41.8789111111
VAST_2129+00,322.3880583333,0
VAST_2129-04,322.3880583333,-4.6763416667
VAST_2132-51,323.1818166667,-51.1184433333
VAST_2140-64,325.1612875,-64.9036555556
VAST_2144-46,326.25,-46.5029611111
VAST_2151+00,327.7611916667,0
VAST_2151-04,327.7611916667,-4.6763416667
VAST_2154-55,328.5,-55.7248361111
VAST_2155-41,328.84615,-41.8789111111
VAST_2156-60,329.1428541667,-60.3217138889
VAST_2205-51,331.3636333333,-51.1184433333
VAST_2212+00,333.134325,0
VAST_2212-04,333.134325,-4.6763416667
VAST_2214-46,333.75,-46.5029611111
VAST_2223-41,335.7692291667,-41.8789111111
VAST_2227-64,336.7741916667,-64.9036555556
VAST_2230-55,337.5,-55.7248361111
VAST_2234+00,338.5074625,0
VAST_2234-04,338.5074625,-4.6763416667
VAST_2237-60,339.4285708333,-60.3217138889
VAST_2238-51,339.5454541667,-51.1184433333
VAST_2244-46,341.25,-46.5029611111
VAST_2250-41,342.6923041667,-41.8789111111
VAST_2255+00,343.8805958333,0
VAST_2255-04,343.8805958333,-4.6763416667
VAST_2306-55,346.5,-55.7248361111
VAST_2317+00,349.2537291667,0
VAST_2317-04,349.2537291667,-4.6763416667
