SBID,OBS_FREQ,FIELD_NAME,BEAM,RA_HMS,DEC_DMS,DATEOBS,DATEEND,BMAJ,BMIN,BPA
8537,864.5,RACS_0131+37A,0,01:29:14.664,+38:09:17.3498,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,31.23,10.14,-4.3
8537,864.5,RACS_0131+37A,1,01:34:35.124,+38:09:17.3498,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,30.85,10.02,-2.9
8537,864.5,RACS_0131+37A,2,01:29:16.91,+37:06:17.6,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,29.85,10.25,-4.4
8537,864.5,RACS_0131+37A,3,01:34:32.875,+37:06:17.6,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,29.73,10.24,-3.1
8537,864.5,RACS_0131+37A,4,01:23:47.112,+39:11:23.14,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,32.83,10.05,-5.6
8537,864.5,RACS_0131+37A,5,01:29:12.295,+39:12:17.7502,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,36.6,9.81,-3.9
8537,864.5,RACS_0131+37A,6,01:34:37.49,+39:12:17.7502,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,32.26,9.92,-2.7
8537,864.5,RACS_0131+37A,7,01:40:02.674,+39:11:23.14,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,32.66,10.03,-1.6
8537,864.5,RACS_0131+37A,8,01:39:55.572,+38:08:23.5702,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,34.67,9.87,-1.6
8537,864.5,RACS_0131+37A,9,01:39:48.83,+37:05:24.58,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,29.46,10.09,-1.7
8537,864.5,RACS_0131+37A,10,01:39:42.43,+36:02:24.9,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,28.34,10.32,-1.7
