SBID,FIELD_NAME,BEAM,RA_HMS,DEC_DMS,DATEOBS,DATEEND,NINT,BMAJ,BMIN,BPA
11107,VAST_0241-06A,0,02:39:16.363,-05:46:28.13,2020-01-10 11:31:47.537,2020-01-10 11:43:34.220,72,13.614218,10.945306,69.691986
11107,VAST_0241-06A,1,02:43:29.638,-05:46:28.13,2020-01-10 11:31:47.537,2020-01-10 11:43:34.220,72,13.460109,10.878095,69.742838
11107,VAST_0241-06A,2,02:39:16.106,-06:49:27.95,2020-01-10 11:31:47.537,2020-01-10 11:43:34.220,72,13.375257,10.821941,69.541961
11107,VAST_0241-06A,3,02:43:29.894,-06:49:27.95,2020-01-10 11:31:47.537,2020-01-10 11:43:34.220,72,13.567442,10.917841,69.435077
11107,VAST_0241-06A,4,02:35:03.686,-04:43:20.03,2020-01-10 11:31:47.537,2020-01-10 11:43:34.220,72,13.723055,10.994416,70.005351
11107,VAST_0241-06A,5,02:39:16.577,-04:43:27.66,2020-01-10 11:31:47.537,2020-01-10 11:43:34.220,72,13.705088,11.726417,44.406940
11107,VAST_0241-06A,6,02:43:29.424,-04:43:27.66,2020-01-10 11:31:47.537,2020-01-10 11:43:34.220,72,13.708608,10.997019,69.825589
11107,VAST_0241-06A,7,02:47:42.314,-04:43:20.03,2020-01-10 11:31:47.537,2020-01-10 11:43:34.220,72,13.532535,10.905078,70.029510
11107,VAST_0241-06A,8,02:47:42.953,-05:46:20.5,2020-01-10 11:31:47.537,2020-01-10 11:43:34.220,72,13.529335,10.844755,69.932655
11107,VAST_0241-06A,9,02:47:43.723,-06:49:20.32,2020-01-10 11:31:47.537,2020-01-10 11:43:34.220,72,13.554204,10.914227,69.290142
11107,VAST_0241-06A,10,02:47:44.623,-07:52:20.75,2020-01-10 11:31:47.537,2020-01-10 11:43:34.220,72,13.501576,10.898550,69.235823
11107,VAST_0241-06A,11,02:43:30.194,-07:52:28.45,2020-01-10 11:31:47.537,2020-01-10 11:43:34.220,72,13.484541,10.880416,69.234379
11107,VAST_0241-06A,12,02:39:15.806,-07:52:28.45,2020-01-10 11:31:47.537,2020-01-10 11:43:34.220,72,13.490496,10.885060,69.378604
11107,VAST_0241-06A,13,02:35:01.375,-07:52:20.75,2020-01-10 11:31:47.537,2020-01-10 11:43:34.220,72,13.440995,10.772147,68.318358
11107,VAST_0241-06A,14,02:35:02.278,-06:49:20.32,2020-01-10 11:31:47.537,2020-01-10 11:43:34.220,72,13.509620,10.819765,68.351680
11107,VAST_0241-06A,15,02:35:03.046,-05:46:20.5,2020-01-10 11:31:47.537,2020-01-10 11:43:34.220,72,13.624435,10.949572,69.723447
11107,VAST_0241-06A,16,02:30:51.521,-03:40:02.39,2020-01-10 11:31:47.537,2020-01-10 11:43:34.220,72,13.822318,11.020742,70.578060
11107,VAST_0241-06A,17,02:35:04.195,-03:40:17.65,2020-01-10 11:31:47.537,2020-01-10 11:43:34.220,72,13.819029,11.038241,70.457016
11107,VAST_0241-06A,18,02:39:16.745,-03:40:25.28,2020-01-10 11:31:47.537,2020-01-10 11:43:34.220,72,13.771941,11.781299,44.788893
11107,VAST_0241-06A,19,02:43:29.254,-03:40:25.28,2020-01-10 11:31:47.537,2020-01-10 11:43:34.220,72,13.801405,11.028256,70.175758
11107,VAST_0241-06A,20,02:47:41.803,-03:40:17.65,2020-01-10 11:31:47.537,2020-01-10 11:43:34.220,72,13.805332,11.027173,70.224367
11107,VAST_0241-06A,21,02:51:54.48,-03:40:02.39,2020-01-10 11:31:47.537,2020-01-10 11:43:34.220,72,13.674249,10.939761,67.458289
11107,VAST_0241-06A,22,02:51:55.33,-04:43:04.76,2020-01-10 11:31:47.537,2020-01-10 11:43:34.220,72,13.580933,10.909315,66.818265
11107,VAST_0241-06A,23,02:51:56.395,-05:46:05.2,2020-01-10 11:31:47.537,2020-01-10 11:43:34.220,72,13.590238,11.747380,43.747457
11107,VAST_0241-06A,24,02:51:57.677,-06:49:04.98,2020-01-10 11:31:47.537,2020-01-10 11:43:34.220,72,13.542741,11.709482,43.342271
11107,VAST_0241-06A,25,02:51:59.179,-07:52:05.41,2020-01-10 11:31:47.537,2020-01-10 11:43:34.220,72,13.227978,10.688287,69.474300
11107,VAST_0241-06A,26,02:52:00.902,-08:55:07.72,2020-01-10 11:31:47.537,2020-01-10 11:43:34.220,72,13.252129,10.763975,69.038703
11107,VAST_0241-06A,27,02:47:45.658,-08:55:23.12,2020-01-10 11:31:47.537,2020-01-10 11:43:34.220,72,13.436774,10.859202,69.022638
11107,VAST_0241-06A,28,02:43:30.54,-08:55:30.83,2020-01-10 11:31:47.537,2020-01-10 11:43:34.220,72,13.426717,10.847024,69.107998
11107,VAST_0241-06A,29,02:39:15.461,-08:55:30.83,2020-01-10 11:31:47.537,2020-01-10 11:43:34.220,72,13.291052,10.627598,68.296499
11107,VAST_0241-06A,30,02:35:00.341,-08:55:23.12,2020-01-10 11:31:47.537,2020-01-10 11:43:34.220,72,13.395344,10.748142,68.097450
11107,VAST_0241-06A,31,02:30:45.096,-08:55:07.72,2020-01-10 11:31:47.537,2020-01-10 11:43:34.220,72,13.404330,10.738499,68.467286
11107,VAST_0241-06A,32,02:30:46.822,-07:52:05.41,2020-01-10 11:31:47.537,2020-01-10 11:43:34.220,72,13.460769,10.776942,68.524577
