SBID,OBS_FREQ,FIELD_NAME,BEAM,RA_HMS,DEC_DMS,DATEOBS,DATEEND,NINT,BMAJ,BMIN,BPA
11331,887.5,VAST_0306-06A,0,3:04:05.362,-5:46:28.129,2020-01-16 11:32:37.746,2020-01-16 11:44:34.382,72,13.44940948486328,10.79609489440918,70.74562072753906
11331,887.5,VAST_0306-06A,1,3:08:18.638,-5:46:28.129,2020-01-16 11:32:37.746,2020-01-16 11:44:34.382,72,13.422812461853027,10.783449172973633,70.76578521728516
11331,887.5,VAST_0306-06A,2,3:04:05.107,-6:49:27.950,2020-01-16 11:32:37.746,2020-01-16 11:44:34.382,72,13.31802749633789,10.702219009399414,70.0589828491211
11331,887.5,VAST_0306-06A,3,3:08:18.893,-6:49:27.950,2020-01-16 11:32:37.746,2020-01-16 11:44:34.382,72,13.505167961120604,10.79710578918457,69.72198486328125
11331,887.5,VAST_0306-06A,4,2:59:52.685,-4:43:20.030,2020-01-16 11:32:37.746,2020-01-16 11:44:34.382,72,13.651968955993652,10.889578819274902,70.40845489501953
11331,887.5,VAST_0306-06A,5,3:04:05.575,-4:43:27.660,2020-01-16 11:32:37.746,2020-01-16 11:44:34.382,72,13.54089069366455,10.838648796081545,70.65641021728516
11331,887.5,VAST_0306-06A,6,3:08:18.425,-4:43:27.660,2020-01-16 11:32:37.746,2020-01-16 11:44:34.382,72,13.502765655517578,10.851849555969238,70.4255599975586
11331,887.5,VAST_0306-06A,7,3:12:31.315,-4:43:20.030,2020-01-16 11:32:37.746,2020-01-16 11:44:34.382,72,13.65408420562744,10.894639015197754,70.52696228027344
11331,887.5,VAST_0306-06A,8,3:12:31.954,-5:46:20.501,2020-01-16 11:32:37.746,2020-01-16 11:44:34.382,72,13.529325485229492,11.674505233764648,44.71269226074219
11331,887.5,VAST_0306-06A,9,3:12:32.724,-6:49:20.319,2020-01-16 11:32:37.746,2020-01-16 11:44:34.382,72,13.464746475219728,11.626148223876951,44.23740768432617
11331,887.5,VAST_0306-06A,10,3:12:33.624,-7:52:20.749,2020-01-16 11:32:37.746,2020-01-16 11:44:34.382,72,13.265304565429688,10.702092170715332,70.0022964477539
11331,887.5,VAST_0306-06A,11,3:08:19.195,-7:52:28.450,2020-01-16 11:32:37.746,2020-01-16 11:44:34.382,72,13.32192611694336,10.672093391418455,70.50102996826172
11331,887.5,VAST_0306-06A,12,3:04:04.805,-7:52:28.450,2020-01-16 11:32:37.746,2020-01-16 11:44:34.382,72,13.326315879821776,10.6707763671875,70.48922729492188
11331,887.5,VAST_0306-06A,13,2:59:50.376,-7:52:20.749,2020-01-16 11:32:37.746,2020-01-16 11:44:34.382,72,13.330329895019531,10.665445327758787,70.56450653076172
11331,887.5,VAST_0306-06A,14,2:59:51.276,-6:49:20.319,2020-01-16 11:32:37.746,2020-01-16 11:44:34.382,72,13.472618103027344,10.79725456237793,70.18219757080078
11331,887.5,VAST_0306-06A,15,2:59:52.046,-5:46:20.501,2020-01-16 11:32:37.746,2020-01-16 11:44:34.382,72,13.460829734802246,10.744847297668455,70.6390609741211
11331,887.5,VAST_0306-06A,16,2:55:40.522,-3:40:02.390,2020-01-16 11:32:37.746,2020-01-16 11:44:34.382,72,13.782232284545898,10.944615364074709,70.77706146240234
11331,887.5,VAST_0306-06A,17,2:59:53.196,-3:40:17.650,2020-01-16 11:32:37.746,2020-01-16 11:44:34.382,72,13.785902976989746,10.956716537475586,70.5029525756836
11331,887.5,VAST_0306-06A,18,3:04:05.746,-3:40:25.280,2020-01-16 11:32:37.746,2020-01-16 11:44:34.382,72,13.749300003051758,10.979023933410645,69.75580596923828
11331,887.5,VAST_0306-06A,19,3:08:18.254,-3:40:25.280,2020-01-16 11:32:37.746,2020-01-16 11:44:34.382,72,13.712196350097656,10.973759651184082,69.65872955322266
11331,887.5,VAST_0306-06A,20,3:12:30.804,-3:40:17.650,2020-01-16 11:32:37.746,2020-01-16 11:44:34.382,72,13.80718994140625,11.072314262390137,69.8962173461914
11331,887.5,VAST_0306-06A,21,3:16:43.478,-3:40:02.390,2020-01-16 11:32:37.746,2020-01-16 11:44:34.382,72,13.769449234008787,11.032498359680176,66.82026672363281
11331,887.5,VAST_0306-06A,22,3:16:44.330,-4:43:04.760,2020-01-16 11:32:37.746,2020-01-16 11:44:34.382,72,13.645057678222656,10.97541046142578,66.65277862548828
11331,887.5,VAST_0306-06A,23,3:16:45.394,-5:46:05.200,2020-01-16 11:32:37.746,2020-01-16 11:44:34.382,72,13.694851875305176,11.83761978149414,43.553855895996094
11331,887.5,VAST_0306-06A,24,3:16:46.678,-6:49:04.980,2020-01-16 11:32:37.746,2020-01-16 11:44:34.382,72,13.631169319152832,11.784530639648438,43.21794891357422
11331,887.5,VAST_0306-06A,25,3:16:48.178,-7:52:05.410,2020-01-16 11:32:37.746,2020-01-16 11:44:34.382,72,13.3070068359375,10.779718399047852,69.350830078125
11331,887.5,VAST_0306-06A,26,3:16:49.903,-8:55:07.719,2020-01-16 11:32:37.746,2020-01-16 11:44:34.382,72,13.347594261169434,10.857505798339844,68.86930084228516
11331,887.5,VAST_0306-06A,27,3:12:34.658,-8:55:23.120,2020-01-16 11:32:37.746,2020-01-16 11:44:34.382,72,13.52048683166504,10.947347640991213,69.01275634765625
11331,887.5,VAST_0306-06A,28,3:08:19.538,-8:55:30.832,2020-01-16 11:32:37.746,2020-01-16 11:44:34.382,72,13.251423835754396,10.735570907592772,69.36502075195312
11331,887.5,VAST_0306-06A,29,3:04:04.462,-8:55:30.832,2020-01-16 11:32:37.746,2020-01-16 11:44:34.382,72,13.421612739562988,10.83336067199707,69.60475158691406
11331,887.5,VAST_0306-06A,30,2:59:49.342,-8:55:23.120,2020-01-16 11:32:37.746,2020-01-16 11:44:34.382,72,13.519293785095217,10.937639236450195,69.41046905517578
11331,887.5,VAST_0306-06A,31,2:55:34.097,-8:55:07.719,2020-01-16 11:32:37.746,2020-01-16 11:44:34.382,72,13.51897430419922,10.92250919342041,69.66498565673828
11331,887.5,VAST_0306-06A,32,2:55:35.822,-7:52:05.410,2020-01-16 11:32:37.746,2020-01-16 11:44:34.382,72,13.59071445465088,10.967277526855469,69.78465270996094
11331,887.5,VAST_0306-06A,33,2:55:37.322,-6:49:04.980,2020-01-16 11:32:37.746,2020-01-16 11:44:34.382,72,13.642909049987791,10.995113372802734,69.85380554199219
11331,887.5,VAST_0306-06A,34,2:55:38.606,-5:46:05.200,2020-01-16 11:32:37.746,2020-01-16 11:44:34.382,72,13.62273120880127,10.926666259765623,70.1875
11331,887.5,VAST_0306-06A,35,2:55:39.670,-4:43:04.760,2020-01-16 11:32:37.746,2020-01-16 11:44:34.382,72,13.813417434692385,11.080416679382324,70.10462951660156
11332,887.5,VAST_0331+00A,0,3:28:55.999,+0:31:29.930,2020-01-16 11:45:34.102,2020-01-16 11:57:40.691,73,14.177406311035156,11.064072608947754,73.87782287597656
11332,887.5,VAST_0331+00A,1,3:33:07.999,+0:31:29.930,2020-01-16 11:45:34.102,2020-01-16 11:57:40.691,73,14.111876487731934,11.036869049072266,74.25603485107422
11332,887.5,VAST_0331+00A,2,3:28:55.999,-0:31:29.930,2020-01-16 11:45:34.102,2020-01-16 11:57:40.691,73,13.98488712310791,10.95451545715332,73.48992156982422
11332,887.5,VAST_0331+00A,3,3:33:07.999,-0:31:29.930,2020-01-16 11:45:34.102,2020-01-16 11:57:40.691,73,14.202788352966309,11.072265625,73.19941711425781
11332,887.5,VAST_0331+00A,4,3:24:43.831,+1:34:30.400,2020-01-16 11:45:34.102,2020-01-16 11:57:40.691,73,14.30496597290039,11.201801300048828,72.39276123046875
11332,887.5,VAST_0331+00A,5,3:28:55.958,+1:34:30.400,2020-01-16 11:45:34.102,2020-01-16 11:57:40.691,73,14.200894355773926,11.168428421020508,73.06543731689453
11332,887.5,VAST_0331+00A,6,3:33:08.042,+1:34:30.400,2020-01-16 11:45:34.102,2020-01-16 11:57:40.691,73,14.14388370513916,11.18540096282959,72.92845916748047
11332,887.5,VAST_0331+00A,7,3:37:20.170,+1:34:30.400,2020-01-16 11:45:34.102,2020-01-16 11:57:40.691,73,14.285223960876465,11.258285522460938,72.98389434814453
11332,887.5,VAST_0331+00A,8,3:37:20.042,+0:31:29.930,2020-01-16 11:45:34.102,2020-01-16 11:57:40.691,73,13.812615394592283,12.174466133117676,50.73801803588867
11332,887.5,VAST_0331+00A,9,3:37:20.042,-0:31:29.930,2020-01-16 11:45:34.102,2020-01-16 11:57:40.691,73,13.787975311279297,12.120984077453612,50.90219879150391
11332,887.5,VAST_0331+00A,10,3:37:20.170,-1:34:30.400,2020-01-16 11:45:34.102,2020-01-16 11:57:40.691,73,13.885624885559082,10.970974922180176,72.91773986816406
11332,887.5,VAST_0331+00A,11,3:33:08.042,-1:34:30.400,2020-01-16 11:45:34.102,2020-01-16 11:57:40.691,73,13.891437530517578,10.916155815124512,72.75824737548828
11332,887.5,VAST_0331+00A,12,3:28:55.958,-1:34:30.400,2020-01-16 11:45:34.102,2020-01-16 11:57:40.691,73,13.882248878479004,10.896573066711426,72.50424194335938
11332,887.5,VAST_0331+00A,13,3:24:43.831,-1:34:30.400,2020-01-16 11:45:34.102,2020-01-16 11:57:40.691,73,13.863621711730955,10.89090061187744,72.40815734863281
11332,887.5,VAST_0331+00A,14,3:24:43.958,-0:31:29.930,2020-01-16 11:45:34.102,2020-01-16 11:57:40.691,73,14.139619827270508,11.043035507202148,72.68632507324219
11332,887.5,VAST_0331+00A,15,3:24:43.958,+0:31:29.930,2020-01-16 11:45:34.102,2020-01-16 11:57:40.691,73,14.160411834716797,11.003013610839844,73.13309478759766
11332,887.5,VAST_0331+00A,16,3:20:31.152,+2:37:32.770,2020-01-16 11:45:34.102,2020-01-16 11:57:40.691,73,14.393814086914062,11.313014030456545,71.18207550048828
11332,887.5,VAST_0331+00A,17,3:24:43.577,+2:37:32.770,2020-01-16 11:45:34.102,2020-01-16 11:57:40.691,73,14.410004615783691,11.354670524597168,70.9932861328125
11332,887.5,VAST_0331+00A,18,3:28:55.872,+2:37:32.770,2020-01-16 11:45:34.102,2020-01-16 11:57:40.691,73,14.360610961914062,11.400386810302734,70.53234100341797
