SBID,OBS_FREQ,FIELD_NME,BEM,R_HMS,DEC_DMS,DTEOBS,DTEEND,NINT,BMJ,BMIN,BP
45535,887.5,VAST_1600-50,0,15:56:45.722,-49:34:05.120,2022-11-14 03:18:40.417,2022-11-14 03:30:47.007,73,14.41392361730478,11.438368194118285,-19.3659401939858
45535,887.5,VAST_1600-50,1,16:03:14.278,-49:34:05.120,2022-11-14 03:18:40.417,2022-11-14 03:30:47.007,73,14.612837441436756,11.469403623216744,-23.0710212977544
45535,887.5,VAST_1600-50,2,15:56:41.419,-50:37:04.730,2022-11-14 03:18:40.417,2022-11-14 03:30:47.007,73,14.6906125769547,11.413270746453527,-20.7233088571949
45535,887.5,VAST_1600-50,3,16:03:18.581,-50:37:04.730,2022-11-14 03:18:40.417,2022-11-14 03:30:47.007,73,14.74963232519142,11.451766543535197,-22.9719794831321
45535,887.5,VAST_1600-50,4,15:50:29.453,-48:29:44.590,2022-11-14 03:18:40.417,2022-11-14 03:30:47.007,73,14.231913186963062,11.408822955244585,-16.9713181687287
45535,887.5,VAST_1600-50,5,15:56:49.783,-48:31:04.840,2022-11-14 03:18:40.417,2022-11-14 03:30:47.007,73,14.276582417988864,11.445584664725423,-19.4605039310889
45535,887.5,VAST_1600-50,6,16:03:10.217,-48:31:04.840,2022-11-14 03:18:40.417,2022-11-14 03:30:47.007,73,14.336791421969016,11.490297930410328,-21.860286656843
45535,887.5,VAST_1600-50,7,16:09:30.547,-48:29:44.590,2022-11-14 03:18:40.417,2022-11-14 03:30:47.007,73,14.521741195983374,11.510777552752549,-25.4571684746402
45535,887.5,VAST_1600-50,8,16:09:42.715,-49:32:43.190,2022-11-14 03:18:40.417,2022-11-14 03:30:47.007,73,14.665908616833708,11.500419027952656,-25.3684941385911
45535,887.5,VAST_1600-50,9,16:09:55.615,-50:35:40.990,2022-11-14 03:18:40.417,2022-11-14 03:30:47.007,73,14.798006021626597,11.475435827461284,-25.3148756946458
45535,887.5,VAST_1600-50,10,16:10:09.310,-51:38:39.260,2022-11-14 03:18:40.417,2022-11-14 03:30:47.007,73,14.954525106446557,11.467608214110696,-25.1521061442911
45535,887.5,VAST_1600-50,11,16:03:23.150,-51:40:04.940,2022-11-14 03:18:40.417,2022-11-14 03:30:47.007,73,14.898049381651212,11.438137060652448,-22.8848580662269
45535,887.5,VAST_1600-50,12,15:56:36.850,-51:40:04.940,2022-11-14 03:18:40.417,2022-11-14 03:30:47.007,73,14.823559582364052,11.392904461527468,-20.5839121774156
45535,887.5,VAST_1600-50,13,15:49:50.690,-51:38:39.260,2022-11-14 03:18:40.417,2022-11-14 03:30:47.007,73,14.642705882571695,11.3754901156362,-16.8561211239995
45535,887.5,VAST_1600-50,14,15:50:04.385,-50:35:40.990,2022-11-14 03:18:40.417,2022-11-14 03:30:47.007,73,14.511677372328563,11.39907933613296,-16.9295780294429
45535,887.5,VAST_1600-50,15,15:50:17.285,-49:32:43.190,2022-11-14 03:18:40.417,2022-11-14 03:30:47.007,73,14.392191290113368,11.425815342504649,-16.9940911133324
45535,887.5,VAST_1600-50,16,15:44:28.560,-47:24:06.620,2022-11-14 03:18:40.417,2022-11-14 03:30:47.007,73,14.077446841947022,11.41209580142772,-14.6969952249603
45535,887.5,VAST_1600-50,17,15:50:40.946,-47:26:43.980,2022-11-14 03:18:40.417,2022-11-14 03:30:47.007,73,14.111111554686216,11.433109365855971,-17.0679609669055
45535,887.5,VAST_1600-50,18,15:56:53.616,-47:28:02.640,2022-11-14 03:18:40.417,2022-11-14 03:30:47.007,73,14.184977369178023,11.492272975085532,-19.4314295493008
45535,887.5,VAST_1600-50,19,16:03:06.384,-47:28:02.640,2022-11-14 03:18:40.417,2022-11-14 03:30:47.007,73,14.221760024907647,11.521004228191476,-21.8681277964077
45535,887.5,VAST_1600-50,20,16:09:19.054,-47:26:43.980,2022-11-14 03:18:40.417,2022-11-14 03:30:47.007,73,14.398428522027384,11.530926843429096,-25.5814853146526
45535,887.5,VAST_1600-50,21,16:15:31.440,-47:24:06.620,2022-11-14 03:18:40.417,2022-11-14 03:30:47.007,73,14.474135266004268,11.58086516290614,-27.9246153667554
45535,887.5,VAST_1600-50,22,16:15:50.561,-48:27:04.140,2022-11-14 03:18:40.417,2022-11-14 03:30:47.007,73,14.60396906585262,11.561342408407477,-27.8053258111076
