SBID,FIELD_NAME,BEAM,RA_HMS,DEC_DMS,DATEOBS,DATEEND,BMAJ,BMIN,BPA
8537,RACS_0131+37A,0,01:29:14.664,+38:09:17.3498,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,31.230,10.140,-4.300
8537,RACS_0131+37A,1,01:34:35.124,+38:09:17.3498,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,30.850,10.020,-2.900
8537,RACS_0131+37A,2,01:29:16.91,+37:06:17.6,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,29.850,10.250,-4.400
8537,RACS_0131+37A,3,01:34:32.875,+37:06:17.6,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,29.730,10.240,-3.100
8537,RACS_0131+37A,4,01:23:47.112,+39:11:23.14,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,32.830,10.050,-5.600
8537,RACS_0131+37A,5,01:29:12.295,+39:12:17.7502,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,36.600,9.810,-3.900
8537,RACS_0131+37A,6,01:34:37.49,+39:12:17.7502,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,32.260,9.920,-2.700
8537,RACS_0131+37A,7,01:40:02.674,+39:11:23.14,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,32.660,10.030,-1.600
8537,RACS_0131+37A,8,01:39:55.572,+38:08:23.5702,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,34.670,9.870,-1.600
8537,RACS_0131+37A,9,01:39:48.83,+37:05:24.58,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,29.460,10.090,-1.700
8537,RACS_0131+37A,10,01:39:42.43,+36:02:24.9,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,28.340,10.320,-1.700
8537,RACS_0131+37A,11,01:34:30.742,+36:03:17.24,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,28.720,10.450,-3.100
8537,RACS_0131+37A,12,01:29:19.046,+36:03:17.24,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,28.550,10.340,-4.600
8537,RACS_0131+37A,13,01:24:07.356,+36:02:24.9,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,28.180,10.240,-5.900
8537,RACS_0131+37A,14,01:24:00.955,+37:05:24.58,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,29.910,10.230,-5.800
8537,RACS_0131+37A,15,01:23:54.216,+38:08:23.5702,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,31.300,10.150,-5.700
8537,RACS_0131+37A,16,01:18:09.502,+40:12:33.5498,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,34.260,9.870,-6.800
8537,RACS_0131+37A,17,01:23:39.624,+40:14:24.54,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,34.170,10.030,-5.700
8537,RACS_0131+37A,18,01:29:09.797,+40:15:20.02,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,38.350,9.700,-3.800
8537,RACS_0131+37A,19,01:34:39.989,+40:15:20.02,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,33.600,9.760,-3.000
8537,RACS_0131+37A,20,01:40:10.162,+40:14:24.54,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,33.280,9.630,-1.900
8537,RACS_0131+37A,21,01:45:40.284,+40:12:33.5498,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,33.390,9.700,-0.100
8537,RACS_0131+37A,22,01:45:27.814,+39:09:33.9098,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,31.920,9.680,-0.100
8537,RACS_0131+37A,23,01:45:15.984,+38:06:35.96,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,34.330,9.640,-0.500
8537,RACS_0131+37A,24,01:45:04.759,+37:03:38.48,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,33.590,9.740,-0.300
8537,RACS_0131+37A,25,01:44:54.098,+36:00:40.2098,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,28.260,10.190,-0.700
8537,RACS_0131+37A,26,01:44:43.973,+34:57:39.82,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,26.960,10.180,-0.500
8537,RACS_0131+37A,27,01:39:36.348,+34:59:23.24,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,27.390,10.430,-2.000
8537,RACS_0131+37A,28,01:34:28.714,+35:00:14.94,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,27.500,10.410,-3.400
8537,RACS_0131+37A,29,01:29:21.072,+35:00:14.94,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,27.310,10.300,-4.900
8537,RACS_0131+37A,30,01:24:13.438,+34:59:23.24,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,27.520,10.350,-5.900
8537,RACS_0131+37A,31,01:19:05.813,+34:57:39.82,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,27.580,10.360,-7.200
8537,RACS_0131+37A,32,01:18:55.687,+36:00:40.2098,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,28.910,10.350,-7.300
8537,RACS_0131+37A,33,01:18:45.026,+37:03:38.48,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,29.930,10.130,-7.300
8537,RACS_0131+37A,34,01:18:33.802,+38:06:35.96,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,31.190,9.950,-6.900
8537,RACS_0131+37A,35,01:18:21.972,+39:09:33.9098,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,32.770,9.870,-6.900
8537,RACS_0202+37A,0,01:59:52.961,+38:09:17.3498,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,27.640,8.120,-2.500
8537,RACS_0202+37A,1,02:05:13.421,+38:09:17.3498,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,27.280,8.060,-1.300
8537,RACS_0202+37A,2,01:59:55.21,+37:06:17.6,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,27.000,8.190,-2.300
8537,RACS_0202+37A,3,02:05:11.172,+37:06:17.6,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,27.060,8.180,-1.000
8537,RACS_0202+37A,4,01:54:25.411,+39:11:23.14,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,29.040,8.080,-3.800
8537,RACS_0202+37A,5,01:59:50.592,+39:12:17.7502,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,32.990,7.810,-2.200
8537,RACS_0202+37A,6,02:05:15.79,+39:12:17.7502,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,29.160,8.020,-1.400
8537,RACS_0202+37A,7,02:10:40.973,+39:11:23.14,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,29.150,8.060,-0.000
8537,RACS_0202+37A,8,02:10:33.869,+38:08:23.5702,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,31.300,7.850,0.100
8537,RACS_0202+37A,9,02:10:27.127,+37:05:24.58,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,26.700,8.120,0.100
8537,RACS_0202+37A,10,02:10:20.726,+36:02:24.9,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,26.170,8.200,-0.200
8537,RACS_0202+37A,11,02:05:09.038,+36:03:17.24,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,26.070,8.270,-1.200
8537,RACS_0202+37A,12,01:59:57.343,+36:03:17.24,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,25.760,8.250,-2.200
8537,RACS_0202+37A,13,01:54:45.655,+36:02:24.9,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,25.730,8.210,-3.500
8537,RACS_0202+37A,14,01:54:39.254,+37:05:24.58,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,26.960,8.200,-3.500
8537,RACS_0202+37A,15,01:54:32.513,+38:08:23.5702,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,27.620,8.140,-3.700
8537,RACS_0202+37A,16,01:48:47.801,+40:12:33.5498,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,30.660,7.990,-5.200
8537,RACS_0202+37A,17,01:54:17.921,+40:14:24.54,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,30.620,8.040,-3.800
8537,RACS_0202+37A,18,01:59:48.096,+40:15:20.02,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,33.750,7.830,-2.300
8537,RACS_0202+37A,19,02:05:18.286,+40:15:20.02,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,30.060,7.830,-1.400
8537,RACS_0202+37A,20,02:10:48.461,+40:14:24.54,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,30.190,7.720,-0.100
8537,RACS_0202+37A,21,02:16:18.581,+40:12:33.5498,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,30.070,7.780,1.200
8537,RACS_0202+37A,22,02:16:06.11,+39:09:33.9098,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,28.490,7.770,1.200
8537,RACS_0202+37A,23,02:15:54.283,+38:06:35.96,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,31.140,7.660,1.300
8537,RACS_0202+37A,24,02:15:43.056,+37:03:38.48,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,30.030,7.770,1.400
8537,RACS_0202+37A,25,02:15:32.398,+36:00:40.2098,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,25.770,8.120,1.400
