SBID,FIELD_NAME,BEAM,RA_HMS,DEC_DMS,DATEOBS,DATEEND,NINT,BMAJ,BMIN,BPA
11331,VAST_0306-06A,0,03:04:05.362,-05:46:28.13,2020-01-16 11:32:37.746,2020-01-16 11:44:24.429,72,13.449410,10.796095,70.745617
11331,VAST_0306-06A,1,03:08:18.638,-05:46:28.13,2020-01-16 11:32:37.746,2020-01-16 11:44:24.429,72,13.422813,10.783449,70.765787
11331,VAST_0306-06A,2,03:04:05.107,-06:49:27.95,2020-01-16 11:32:37.746,2020-01-16 11:44:24.429,72,13.318028,10.702219,70.058984
11331,VAST_0306-06A,3,03:08:18.893,-06:49:27.95,2020-01-16 11:32:37.746,2020-01-16 11:44:24.429,72,13.505168,10.797106,69.721984
11331,VAST_0306-06A,4,02:59:52.685,-04:43:20.03,2020-01-16 11:32:37.746,2020-01-16 11:44:24.429,72,13.651969,10.889579,70.408455
11331,VAST_0306-06A,5,03:04:05.575,-04:43:27.66,2020-01-16 11:32:37.746,2020-01-16 11:44:24.429,72,13.540890,10.838648,70.656411
11331,VAST_0306-06A,6,03:08:18.425,-04:43:27.66,2020-01-16 11:32:37.746,2020-01-16 11:44:24.429,72,13.502765,10.851849,70.425563
11331,VAST_0306-06A,7,03:12:31.315,-04:43:20.03,2020-01-16 11:32:37.746,2020-01-16 11:44:24.429,72,13.654084,10.894639,70.526961
11331,VAST_0306-06A,8,03:12:31.954,-05:46:20.5,2020-01-16 11:32:37.746,2020-01-16 11:44:24.429,72,13.529325,11.674505,44.712691
11331,VAST_0306-06A,9,03:12:32.724,-06:49:20.32,2020-01-16 11:32:37.746,2020-01-16 11:44:24.429,72,13.464746,11.626148,44.237408
11331,VAST_0306-06A,10,03:12:33.624,-07:52:20.75,2020-01-16 11:32:37.746,2020-01-16 11:44:24.429,72,13.265305,10.702092,70.002295
11331,VAST_0306-06A,11,03:08:19.195,-07:52:28.45,2020-01-16 11:32:37.746,2020-01-16 11:44:24.429,72,13.321926,10.672093,70.501032
11331,VAST_0306-06A,12,03:04:04.805,-07:52:28.45,2020-01-16 11:32:37.746,2020-01-16 11:44:24.429,72,13.326316,10.670776,70.489224
11331,VAST_0306-06A,13,02:59:50.376,-07:52:20.75,2020-01-16 11:32:37.746,2020-01-16 11:44:24.429,72,13.330330,10.665446,70.564503
11331,VAST_0306-06A,14,02:59:51.276,-06:49:20.32,2020-01-16 11:32:37.746,2020-01-16 11:44:24.429,72,13.472618,10.797254,70.182199
11331,VAST_0306-06A,15,02:59:52.046,-05:46:20.5,2020-01-16 11:32:37.746,2020-01-16 11:44:24.429,72,13.460830,10.744847,70.639058
11331,VAST_0306-06A,16,02:55:40.522,-03:40:02.39,2020-01-16 11:32:37.746,2020-01-16 11:44:24.429,72,13.782232,10.944616,70.777061
11331,VAST_0306-06A,17,02:59:53.196,-03:40:17.65,2020-01-16 11:32:37.746,2020-01-16 11:44:24.429,72,13.785903,10.956717,70.502956
11331,VAST_0306-06A,18,03:04:05.746,-03:40:25.28,2020-01-16 11:32:37.746,2020-01-16 11:44:24.429,72,13.749300,10.979024,69.755804
11331,VAST_0306-06A,19,03:08:18.254,-03:40:25.28,2020-01-16 11:32:37.746,2020-01-16 11:44:24.429,72,13.712196,10.973760,69.658728
11331,VAST_0306-06A,20,03:12:30.804,-03:40:17.65,2020-01-16 11:32:37.746,2020-01-16 11:44:24.429,72,13.807190,11.072314,69.896214
11331,VAST_0306-06A,21,03:16:43.478,-03:40:02.39,2020-01-16 11:32:37.746,2020-01-16 11:44:24.429,72,13.769449,11.032498,66.820268
11331,VAST_0306-06A,22,03:16:44.33,-04:43:04.76,2020-01-16 11:32:37.746,2020-01-16 11:44:24.429,72,13.645058,10.975410,66.652776
11331,VAST_0306-06A,23,03:16:45.394,-05:46:05.2,2020-01-16 11:32:37.746,2020-01-16 11:44:24.429,72,13.694852,11.837620,43.553857
11331,VAST_0306-06A,24,03:16:46.678,-06:49:04.98,2020-01-16 11:32:37.746,2020-01-16 11:44:24.429,72,13.631169,11.784531,43.217950
11331,VAST_0306-06A,25,03:16:48.178,-07:52:05.41,2020-01-16 11:32:37.746,2020-01-16 11:44:24.429,72,13.307006,10.779719,69.350827
11331,VAST_0306-06A,26,03:16:49.903,-08:55:07.72,2020-01-16 11:32:37.746,2020-01-16 11:44:24.429,72,13.347594,10.857506,68.869302
11331,VAST_0306-06A,27,03:12:34.658,-08:55:23.12,2020-01-16 11:32:37.746,2020-01-16 11:44:24.429,72,13.520487,10.947348,69.012760
11331,VAST_0306-06A,28,03:08:19.538,-08:55:30.83,2020-01-16 11:32:37.746,2020-01-16 11:44:24.429,72,13.251424,10.735571,69.365021
11331,VAST_0306-06A,29,03:04:04.462,-08:55:30.83,2020-01-16 11:32:37.746,2020-01-16 11:44:24.429,72,13.421612,10.833361,69.604749
11331,VAST_0306-06A,30,02:59:49.342,-08:55:23.12,2020-01-16 11:32:37.746,2020-01-16 11:44:24.429,72,13.519294,10.937639,69.410473
