SBID,FIELD_NAME,BEAM,RA_HMS,DEC_DMS,DATEOBS,DATEEND,NINT,BMAJ,BMIN,BPA
10888,VAST_0241-06A,0,02:39:16.363,-05:46:28.13,2019-12-19 13:02:28.995,2019-12-19 13:14:15.678,72,12.514638,11.175092,81.049196
10888,VAST_0241-06A,1,02:43:29.638,-05:46:28.13,2019-12-19 13:02:28.995,2019-12-19 13:14:15.678,72,12.400733,11.032222,80.461993
10888,VAST_0241-06A,2,02:39:16.106,-06:49:27.95,2019-12-19 13:02:28.995,2019-12-19 13:14:15.678,72,12.406824,11.107399,80.320994
10888,VAST_0241-06A,3,02:43:29.894,-06:49:27.95,2019-12-19 13:02:28.995,2019-12-19 13:14:15.678,72,12.410449,11.149840,81.174806
10888,VAST_0241-06A,4,02:35:03.686,-04:43:20.03,2019-12-19 13:02:28.995,2019-12-19 13:14:15.678,72,12.619077,11.096170,79.494438
10888,VAST_0241-06A,5,02:39:16.577,-04:43:27.66,2019-12-19 13:02:28.995,2019-12-19 13:14:15.678,72,12.567166,11.095195,79.246636
10888,VAST_0241-06A,6,02:43:29.424,-04:43:27.66,2019-12-19 13:02:28.995,2019-12-19 13:14:15.678,72,12.654359,11.156602,78.759004
10888,VAST_0241-06A,7,02:47:42.314,-04:43:20.03,2019-12-19 13:02:28.995,2019-12-19 13:14:15.678,72,12.666663,11.305258,80.037426
10888,VAST_0241-06A,8,02:47:42.953,-05:46:20.5,2019-12-19 13:02:28.995,2019-12-19 13:14:15.678,72,12.810048,11.704603,21.666805
10888,VAST_0241-06A,9,02:47:43.723,-06:49:20.32,2019-12-19 13:02:28.995,2019-12-19 13:14:15.678,72,12.365053,11.009293,78.813244
10888,VAST_0241-06A,10,02:47:44.623,-07:52:20.75,2019-12-19 13:02:28.995,2019-12-19 13:14:15.678,72,12.418783,11.236248,80.046490
10888,VAST_0241-06A,11,02:43:30.194,-07:52:28.45,2019-12-19 13:02:28.995,2019-12-19 13:14:15.678,72,12.316553,11.096631,79.661227
10888,VAST_0241-06A,12,,,2019-12-19 13:02:28.995,2019-12-19 13:14:15.678,72,0.000000,0.000000,0.000000
10888,VAST_0241-06A,13,02:35:01.375,-07:52:20.75,2019-12-19 13:02:28.995,2019-12-19 13:14:15.678,72,12.434227,11.199039,79.733518
10888,VAST_0241-06A,14,02:35:02.278,-06:49:20.32,2019-12-19 13:02:28.995,2019-12-19 13:14:15.678,72,12.278237,10.797880,78.065754
10888,VAST_0241-06A,15,02:35:03.046,-05:46:20.5,2019-12-19 13:02:28.995,2019-12-19 13:14:15.678,72,12.599901,11.237656,79.306482
10888,VAST_0241-06A,16,02:30:51.521,-03:40:02.39,2019-12-19 13:02:28.995,2019-12-19 13:14:15.678,72,12.690891,11.028720,80.551181
10888,VAST_0241-06A,17,02:35:04.195,-03:40:17.65,2019-12-19 13:02:28.995,2019-12-19 13:14:15.678,72,12.836520,11.288242,79.272144
10888,VAST_0241-06A,18,02:39:16.745,-03:40:25.28,2019-12-19 13:02:28.995,2019-12-19 13:14:15.678,72,12.597679,11.058641,77.835933
10888,VAST_0241-06A,19,02:43:29.254,-03:40:25.28,2019-12-19 13:02:28.995,2019-12-19 13:14:15.678,72,12.737821,11.204227,79.067348
10888,VAST_0241-06A,20,02:47:41.803,-03:40:17.65,2019-12-19 13:02:28.995,2019-12-19 13:14:15.678,72,12.642471,11.251824,80.977813
10888,VAST_0241-06A,21,02:51:54.48,-03:40:02.39,2019-12-19 13:02:28.995,2019-12-19 13:14:15.678,72,12.762951,11.303217,79.876418
10888,VAST_0241-06A,22,02:51:55.33,-04:43:04.76,2019-12-19 13:02:28.995,2019-12-19 13:14:15.678,72,12.665658,11.308878,79.694070
10888,VAST_0241-06A,23,02:51:56.395,-05:46:05.2,2019-12-19 13:02:28.995,2019-12-19 13:14:15.678,72,12.897759,11.810056,16.830837
10888,VAST_0241-06A,24,,,2019-12-19 13:02:28.995,2019-12-19 13:14:15.678,72,0.000000,0.000000,0.000000
10888,VAST_0241-06A,25,02:51:59.179,-07:52:05.41,2019-12-19 13:02:28.995,2019-12-19 13:14:15.678,72,16.690083,10.974372,-58.472075
10888,VAST_0241-06A,26,02:52:00.902,-08:55:07.72,2019-12-19 13:02:28.995,2019-12-19 13:14:15.678,72,12.205470,11.121725,82.025240
10888,VAST_0241-06A,27,02:47:45.658,-08:55:23.12,2019-12-19 13:02:28.995,2019-12-19 13:14:15.678,72,12.348888,11.206084,80.188603
10888,VAST_0241-06A,28,02:43:30.54,-08:55:30.83,2019-12-19 13:02:28.995,2019-12-19 13:14:15.678,72,12.354640,11.205671,80.172999
10888,VAST_0241-06A,29,02:39:15.461,-08:55:30.83,2019-12-19 13:02:28.995,2019-12-19 13:14:15.678,72,12.326639,11.092117,79.396499
10888,VAST_0241-06A,30,02:35:00.341,-08:55:23.12,2019-12-19 13:02:28.995,2019-12-19 13:14:15.678,72,12.369669,11.185126,79.784442
10888,VAST_0241-06A,31,02:30:45.096,-08:55:07.72,2019-12-19 13:02:28.995,2019-12-19 13:14:15.678,72,12.180798,11.035508,74.678682
10888,VAST_0241-06A,32,02:30:46.822,-07:52:05.41,2019-12-19 13:02:28.995,2019-12-19 13:14:15.678,72,12.417230,11.094823,79.481029
10888,VAST_0241-06A,33,02:30:48.324,-06:49:04.98,2019-12-19 13:02:28.995,2019-12-19 13:14:15.678,72,12.535170,11.230633,79.814596
10888,VAST_0241-06A,34,02:30:49.606,-05:46:05.2,2019-12-19 13:02:28.995,2019-12-19 13:14:15.678,72,12.619234,11.245247,79.687519
10888,VAST_0241-06A,35,02:30:50.671,-04:43:04.76,2019-12-19 13:02:28.995,2019-12-19 13:14:15.678,72,12.720354,11.157983,78.909771
10889,VAST_0241+00A,0,02:39:16.999,+00:31:29.93,2019-12-19 13:15:05.445,2019-12-19 13:27:02.081,73,13.646056,11.248554,79.350165
10889,VAST_0241+00A,1,02:43:28.999,+00:31:29.93,2019-12-19 13:15:05.445,2019-12-19 13:27:02.081,73,13.471860,11.077738,79.369277
10889,VAST_0241+00A,2,02:39:16.999,-00:31:29.93,2019-12-19 13:15:05.445,2019-12-19 13:27:02.081,73,13.430811,11.142204,79.272235
10889,VAST_0241+00A,3,02:43:28.999,-00:31:29.93,2019-12-19 13:15:05.445,2019-12-19 13:27:02.081,73,13.359827,11.193389,80.021671
10889,VAST_0241+00A,4,02:35:04.831,+01:34:30.4,2019-12-19 13:15:05.445,2019-12-19 13:27:02.081,73,13.801025,11.210159,77.171558
10889,VAST_0241+00A,5,02:39:16.958,+01:34:30.4,2019-12-19 13:15:05.445,2019-12-19 13:27:02.081,73,13.656608,11.208748,77.070387
10889,VAST_0241+00A,6,02:43:29.042,+01:34:30.4,2019-12-19 13:15:05.445,2019-12-19 13:27:02.081,73,13.688761,11.262341,77.363847
10889,VAST_0241+00A,7,02:47:41.17,+01:34:30.4,2019-12-19 13:15:05.445,2019-12-19 13:27:02.081,73,13.585380,11.400817,78.016896
10889,VAST_0241+00A,8,02:47:41.042,+00:31:29.93,2019-12-19 13:15:05.445,2019-12-19 13:27:02.081,73,13.414220,12.016039,42.547798
10889,VAST_0241+00A,9,02:47:41.042,-00:31:29.93,2019-12-19 13:15:05.445,2019-12-19 13:27:02.081,73,13.314084,11.070753,79.154683
10889,VAST_0241+00A,10,02:47:41.17,-01:34:30.4,2019-12-19 13:15:05.445,2019-12-19 13:27:02.081,73,13.132693,11.297500,79.417564
10889,VAST_0241+00A,11,02:43:29.042,-01:34:30.4,2019-12-19 13:15:05.445,2019-12-19 13:27:02.081,73,13.040054,11.141697,79.183454
10889,VAST_0241+00A,12,,,2019-12-19 13:15:05.445,2019-12-19 13:27:02.081,73,0.000000,0.000000,0.000000
10889,VAST_0241+00A,13,02:35:04.831,-01:34:30.4,2019-12-19 13:15:05.445,2019-12-19 13:27:02.081,73,13.302367,11.254967,78.936224
10889,VAST_0241+00A,14,02:35:04.958,-00:31:29.93,2019-12-19 13:15:05.445,2019-12-19 13:27:02.081,73,13.417535,10.811807,77.866722
10889,VAST_0241+00A,15,02:35:04.958,+00:31:29.93,2019-12-19 13:15:05.445,2019-12-19 13:27:02.081,73,13.797475,11.276322,78.232695
10889,VAST_0241+00A,16,02:30:52.152,+02:37:32.77,2019-12-19 13:15:05.445,2019-12-19 13:27:02.081,73,13.781705,11.256152,76.912695
10889,VAST_0241+00A,17,02:35:04.577,+02:37:32.77,2019-12-19 13:15:05.445,2019-12-19 13:27:02.081,73,13.886854,11.508298,75.720748
10889,VAST_0241+00A,18,02:39:16.872,+02:37:32.77,2019-12-19 13:15:05.445,2019-12-19 13:27:02.081,73,13.552071,11.249979,75.009446
10889,VAST_0241+00A,19,02:43:29.126,+02:37:32.77,2019-12-19 13:15:05.445,2019-12-19 13:27:02.081,73,13.664688,11.419362,76.065909
10889,VAST_0241+00A,20,02:47:41.424,+02:37:32.77,2019-12-19 13:15:05.445,2019-12-19 13:27:02.081,73,13.517140,11.436912,77.052867
10889,VAST_0241+00A,21,02:51:53.849,+02:37:32.77,2019-12-19 13:15:05.445,2019-12-19 13:27:02.081,73,13.566865,11.510291,76.606510
10889,VAST_0241+00A,22,02:51:53.424,+01:34:30.4,2019-12-19 13:15:05.445,2019-12-19 13:27:02.081,73,13.546102,11.418813,78.328508
10889,VAST_0241+00A,23,02:51:53.213,+00:31:29.93,2019-12-19 13:15:05.445,2019-12-19 13:27:02.081,73,13.366766,12.165306,38.977690
10889,VAST_0241+00A,24,,,2019-12-19 13:15:05.445,2019-12-19 13:27:02.081,73,0.000000,0.000000,0.000000
10889,VAST_0241+00A,25,02:51:53.424,-01:34:30.4,2019-12-19 13:15:05.445,2019-12-19 13:27:02.081,73,17.669689,10.884722,-64.114015
10889,VAST_0241+00A,26,02:51:53.849,-02:37:32.77,2019-12-19 13:15:05.445,2019-12-19 13:27:02.081,73,12.761855,11.213803,80.492772
