field,centre-ra,centre-dec
VAST_0012+00A,3.1017473611100224,0.0037709444443794287
VAST_0012-06A,3.101559836022031,-6.298205277661648
VAST_0037+00A,9.305905694444023,0.0037709444443794287
VAST_0037-06A,9.30573066935503,-6.298205277661648
VAST_0102+00A,15.514247361107023,0.0037709444443794287
VAST_0102-06A,15.51405983602503,-6.298205277661648
VAST_0126+00A,21.722576527777022,0.0037709444443794287
VAST_0126-06A,21.72239316935503,-6.298205277661648
VAST_0127-73A,21.833684181015,-73.12027869098046
VAST_0151+00A,27.926747361107022,0.0037709444443794287
VAST_0151-06A,27.92655983602503,-6.298205277661648
VAST_0216+00A,34.135076527777024,0.0037709444443794287
VAST_0216-06A,34.13489316935503,-6.298205277661648
VAST_0241+00A,40.34340569444702,0.0037709444443794287
VAST_0241-06A,40.34323066935504,-6.298205277661648
VAST_0304-50A,46.16839387814278,-50.120334498738565
VAST_0306+00A,46.547576527777025,0.0037709444443794287
VAST_0306-06A,46.54739316935503,-6.298205277661648
VAST_0310-56A,47.665222723594034,-56.33915347063786
VAST_0318-62A,49.68100360169307,-62.54326388686297
VAST_0320-43A,50.242367359311544,-43.890499026765625
VAST_0331+00A,52.75590569444702,0.0037709444443794287
VAST_0331-06A,52.75573066935503,-6.298205277661648
VAST_0341-50A,55.397564711472775,-50.120334498738565
VAST_0352-56A,58.25272272359403,-56.33915347063786
VAST_0354-43A,58.613196525971546,-43.890499026765625
VAST_0355+00A,58.96424736110702,0.0037709444443794287
VAST_0355-06A,58.96405983602504,-6.298205277661648
VAST_0408-62A,62.09767443502307,-62.54326388686297
VAST_0418-50A,64.63089387814277,-50.120334498738565
VAST_0427-43A,66.98403402597154,-43.890499026765625
VAST_0435-56A,68.84439355692405,-56.33915347063786
VAST_0455-50A,73.86006471147277,-50.120334498738565
VAST_0457-62A,74.51017443502306,-62.54326388686297
VAST_0501-43A,75.35903402597154,-43.890499026765625
VAST_0517-56A,79.43189355692404,-56.33915347063786
VAST_0530-68A,82.53291133288258,-68.73601183063423
VAST_0532-50A,83.08922304480276,-50.120334498738565
VAST_0534-43A,83.72986735931154,-43.890499026765625
VAST_0547-62A,86.92267443502307,-62.54326388686297
VAST_0559-56A,90.01939355692404,-56.33915347063786
VAST_0918+00A,139.651747361077,0.0037709444443794287
VAST_0918-06A,139.65155983605501,-6.298205277661648
VAST_0943+00A,145.860076527777,0.0037709444443794287
VAST_0943-06A,145.85989316935502,-6.298205277661648
VAST_1008+00A,152.068405694477,0.0037709444443794287
VAST_1008-06A,152.06823066935502,-6.298205277661648
VAST_1033+00A,158.272576527777,0.0037709444443794287
VAST_1033-06A,158.272393169355,-6.298205277661648
VAST_1057+00A,164.480905694477,0.0037709444443794287
VAST_1057-06A,164.480730669355,-6.298205277661648
VAST_1122+00A,170.689247361077,0.0037709444443794287
VAST_1122-06A,170.689059836055,-6.298205277661648
VAST_1147+00A,176.89340569447702,0.0037709444443794287
VAST_1147-06A,176.893230669355,-6.298205277661648
VAST_1212+00A,183.101747361077,0.0037709444443794287
VAST_1212-06A,183.10155983605503,-6.298205277661648
VAST_1237+00A,189.30590569447702,0.0037709444443794287
VAST_1237-06A,189.30573066935503,-6.298205277661648
VAST_1302+00A,195.51424736107703,0.0037709444443794287
VAST_1302-06A,195.51405983605503,-6.298205277661648
VAST_1326+00A,201.72257652777702,0.0037709444443794287
VAST_1326-06A,201.72239316935503,-6.298205277661648
VAST_1351+00A,207.92674736107702,0.0037709444443794287
VAST_1351-06A,207.92655983605502,-6.298205277661648
VAST_1416+00A,214.13507652777702,0.0037709444443794287
VAST_1416-06A,214.13489316935502,-6.298205277661648
VAST_1441+00A,220.343405694477,0.0037709444443794287
VAST_1441-06A,220.34323066935502,-6.298205277661648
VAST_1724-31A,261.1780973802878,-31.397470666025605
VAST_1739-25A,264.90476978971117,-25.136207332844116
VAST_1752-31A,268.2364265468878,-31.397470666025605
VAST_1753-18A,268.36095473151045,-18.866124638528245
VAST_1806-25A,271.70061145641114,-25.136207332844116
VAST_2004+00A,301.03090569447704,0.0037709444443794287
VAST_2004-06A,301.030730669355,-6.298205277661648
VAST_2005-43A,301.4048673593415,-43.890499026765625
VAST_2007-56A,301.78605189022403,-56.33915347063786
VAST_2018-50A,304.6308938781728,-50.120334498738565
VAST_2028+00A,307.23924736107705,0.0037709444443794287
VAST_2028-06A,307.23905983605505,-6.298205277661648
VAST_2039-43A,309.7756965259415,-43.890499026765625
VAST_2041-62A,310.37267443502304,-62.54326388686297
VAST_2049-56A,312.373551890224,-56.33915347063786
VAST_2053+00A,313.447576527777,0.0037709444443794287
VAST_2053-06A,313.44739316935505,-6.298205277661648
VAST_2055-50A,313.8600647114728,-50.120334498738565
VAST_2112-43A,318.1465340259415,-43.890499026765625
VAST_2118+00A,319.65174736107707,0.0037709444443794287
VAST_2118-06A,319.65155983605507,-6.298205277661648
VAST_2131-56A,322.961051890224,-56.33915347063786
VAST_2131-62A,322.78517443502307,-62.54326388686297
VAST_2132-50A,323.0892230447728,-50.120334498738565
VAST_2143+00A,325.86007652777704,0.0037709444443794287
VAST_2143-06A,325.8598931693551,-6.298205277661648
VAST_2146-43A,326.5215340259415,-43.890499026765625
VAST_2208+00A,332.06840569447706,0.0037709444443794287
VAST_2208-06A,332.06823066935505,-6.298205277661648
VAST_2209-50A,332.3225647114728,-50.120334498738565
VAST_2214-56A,333.548551890224,-56.33915347063786
VAST_2219-43A,334.8923673593415,-43.890499026765625
VAST_2220-62A,335.19767443502303,-62.54326388686297
VAST_2233+00A,338.27257652777706,0.0037709444443794287
VAST_2233-06A,338.27239316935504,-6.298205277661648
VAST_2246-50A,341.55172304477276,-50.120334498738565
VAST_2253-43A,343.2631965259415,-43.890499026765625
VAST_2256-56A,344.136051890224,-56.33915347063786
VAST_2257+00A,344.48090569447703,0.0037709444443794287
VAST_2257-06A,344.48073066935507,-6.298205277661648
VAST_2322+00A,350.68924736107704,0.0037709444443794287
VAST_2322-06A,350.68905983605504,-6.298205277661648
VAST_2347+00A,356.89340569447705,0.0037709444443794287
VAST_2347-06A,356.89323066935503,-6.298205277661648
