# example of an input csv file.
# RA and Dec can be in either format shown or decimal degrees.
# required columns are ra and dec. name is optional but recommnded.
# You can include any other columns you like.
name,ra,dec
SN1987A,05:35:28.020,-69:16:11.07
SN2003dh,10:44:50.030,+21:31:18.15
SN2013ej,01:36:48.16,+15:45:31.0
SN2012fr,03:33:35.99,-36:07:37.7
SN2002ap,01:36:23.85,+15:45:13.2
SN2012aw,10:43:53.735,+11:40:17.63
SN2009ip,22:23:08.3,-28:56:52
SN2012dn,20:23:36.26,-28:16:43.4
SN1999ee,22:16:09.40,-36:50:31.5
SN2000cx,01:24:46.19,+09:30:31.3
SN1999em,04:41:27.04,-02:51:45.2
SN2005cf,15:21:33.12,-07:26:57.1
SN1998bu,10:46:46.01,+11:50:07.5
SN2009dc,15:51:12.12,+25:42:28.0
ASASSN-14ha,04:20:01.41,-54:56:17.0
SN2007af,14:22:21.03,-00:23:37.6
SN2016X,12:55:15.50,+00:05:59.7
SN2010jl,09:42:53.33,+09:29:41.8
SN2015bn,11:33:41.57,+00:43:32.2
SN2015F,07:36:15.76,-69:30:23.0
SN2016bln,13:34:45.49,+13:51:14.3
SN2013ab,14:32:44.49,+09:53:12.3
SN2016dxj,16:40:16.20,+22:46:58.3
SN2005bf,10:23:56.99,-03:11:29.3
SN2004eo,20:32:54.19,+09:55:42.7
SN2002bo,10:18:06.51,+21:49:41.7
SN2007gr,02:43:27.98,+37:20:44.7
SN2018bac,10:42:42.160,+25:59:41.16
SN2019mh,12:02:36.138,+04:32:58.58
SN1991T,12:34:10.20,+02:39:56.4
SN2014cx,00:59:47.83,-07:34:18.6
SN2016coi,21:59:04.08,+18:11:10.68
SN2013gh,22:02:21.84,-18:55:00.4
SN2012cg,12:27:12.83,+09:25:13.2
SN2012ht,10:53:22.75,+16:46:34.9
SN2005ke,03:35:04.35,-24:56:38.8
SN2006X,12:22:53.93,+15:48:32.0
iPTF13bvn,15:00:00.152,+01:52:53.17
SN2013fs,23:19:44.70,+10:11:05.0
SN2008hv,09:07:34.06,+03:23:32.1
SN1999ex,22:16:07.27,-36:50:53.7
SN2001el,03:44:30.60,-44:38:23.4
SN2016gkg,01:34:14.40,-29:26:24.2
SN1994D,12:34:02.395,+07:42:05.70
ASASSN-14dq,21:57:59.97,+24:16:08.1
ASASSN-14lp,12:45:09.10,-00:27:32.4
LSQ12gdj,23:54:43.32,-25:40:34.0
SN2009ig,02:38:11.62,-01:18:45.3
SN2013aa,14:32:33.88,-44:13:27.8
SN2019kg,11:42:45.750,+21:42:53.50
SN2005el,05:11:48.76,+05:11:39.0
SN2006jd,08:02:07.43,+00:48:31.5
SN2017ckc,14:28:36.170,+16:41:04.42
iPTF13ebh,02:21:59.98,+33:16:13.7
SN2018hti,03:40:53.750,+11:46:37.29
Gaia17cec,02:44:52.630,+14:00:02.59
SN2019yb,11:00:37.869,+30:30:45.27
SN1998bw,19:35:03.17,-52:50:46.1
SN2001V,11:57:24.93,+25:12:09.0
SN2003cg,10:14:15.97,+03:28:02.5
SN2007le,23:38:48.45,-06:31:21.7
SN2005hc,01:56:47.976,-00:12:48.62
iPTF13z,16:02:00.12,+21:14:41.4
SN2005hk,00:27:50.89,-01:11:53.3
SN1972E,13:39:52.7,-31:40:09
SN2013df,12:26:29.33,+31:13:38.3
SN2006D,12:52:33.87,-09:46:30.7
SN2005am,09:16:12.47,-16:18:16.0
SN2017hnp,23:48:25.670,-01:43:36.47
SN2005M,09:37:32.76,+23:12:10.0
SN2015L,22:02:15.45,-61:39:34.6
SN2016dxv,18:12:29.36,+31:16:47.3
AT2017kad,14:00:18.160,+05:59:46.00
SN2014cy,23:44:16.03,+10:46:12.5
SN2013bu,22:37:02.17,+34:24:05.2
SN2005eq,03:08:49.31,-07:01:59.7
SN2007on,03:38:50.90,-35:34:30.0
PTF11iqb,00:34:04.84,-09:42:17.9
SN2006T,09:54:30.21,-25:42:29.3
SN2005ki,10:40:28.355,+09:10:57.14
SN2009N,12:31:09.46,-08:02:56.3
SN2008D,09:09:30.625,+33:08:20.16
SN2015V,17:49:27.05,+36:08:36.0
SN2008in,12:22:01.77,+04:28:47.5
SN2007S,10:00:31.26,+04:24:26.2
SN2007C,13:08:49.30,-06:47:01.0
SN2013gy,03:42:16.88,-04:43:18.5
SN2004dt,02:02:12.342,-00:06:02.10
iPTF13dge,05:03:35.10,+01:34:17.6
SN2007uy,09:09:35.40,+33:07:09.9
SN2017erp,15:09:14.803,-11:20:02.76
SN1937C,13:05:53.2,+37:36:07
SN2006aj,03:21:39.670,+16:52:02.27
SN2017fgc,01:20:14.440,+03:24:09.96
SN2016ija,04:12:07.620,-32:51:10.93
SN2007sr,12:01:52.80,-18:58:21.7
SN2017deu,13:16:21.600,+27:41:35.34
SN2012Z,03:22:05.3964,-15:23:14.939
SN2009bb,10:31:33.92,-39:57:28.2
SN2016hvl,06:44:02.160,+12:23:47.84
SN2005kj,08:40:09.18,-05:36:02.2
SN2005ip,09:32:06.42,+08:26:44.4
SN1999ac,16:07:15.01,+07:58:20.4
SN2004ef,22:42:10.533,+19:59:48.99
SN2012ec,02:45:59.89,-07:34:25.0
SN2012hr,06:21:38.46,-59:42:50.6
SN2007od,23:55:48.68,+18:24:54.8
SN2008am,12:28:36.25,+15:34:49.1
SN2013ge,10:34:48.46,+21:39:41.9
SN2009ib,04:17:40.09,-62:46:40.3
SN2015W,06:57:43.03,+13:34:45.7
SNhunt151,04:47:30.0,+23:58:56
SN2007jg,03:29:50.81,+00:03:24.6
SN2013ft,23:41:35.20,+03:43:30.5
SN2002er,17:11:29.88,+07:59:44.8
SN2004gs,08:38:23.851,+17:37:52.85
SN2017ito,03:33:31.980,+03:11:24.21
SN1989B,11:20:13.93,+13:00:18.9
SN2013ai,06:16:18.35,-21:22:32.9
SN2002fk,03:22:05.71,-15:24:03.2
SN2006ax,11:24:03.46,-12:17:29.2
SN2006fo,02:32:38.89,+00:37:03.0
SN2010id,23:05:48.88,+03:31:25.5
SN2017faf,17:34:39.980,+26:18:22.00
SN2016fbo,01:01:35.539,+17:06:04.29
SN2009jf,23:04:52.98,+12:19:59.5
SN2018gv,08:05:34.610,-11:26:16.30
SN2005na,07:01:36.62,+14:07:59.7
SN2017drh,17:32:26.056,+07:03:47.38
SN2003gd,01:36:42.65,+15:44:19.9
SN2009kr,05:12:03.30,-15:41:52.2
SN2014dt,12:21:57.57,+04:28:18.5
SN2014dw,11:10:48.41,-37:27:02.2
SN1999br,13:00:41.80,+02:29:45.8
OGLE-2012-SN-006,03:33:34.79,-74:23:40.1
SN2011bm,12:56:53.89,+22:22:28.2
SN2014L,12:18:48.68,+14:24:43.5
SN2010ai,12:59:24.00,+27:59:47.5
SN1994ae,10:47:01.94,+17:16:30.8
SN2004gq,05:12:04.81,-15:40:54.2
SN2008C,06:57:11.53,+20:26:13.7
SN1990N,12:42:56.68,+13:15:23.4
SN1999aa,08:27:42.03,+21:29:14.8
SN1980N,03:22:59,-37:12.8
SN2013am,11:18:56.95,+13:03:49.4
SN2007if,01:10:51.37,+15:27:39.9
PS15bom,23:26:37.05,-00:17:23.0
SN2012P,14:59:59.12,+01:53:24.4
SN2017hbi,02:32:31.570,+35:29:00.97
SN1981B,12:34:29.57,+02:11:59.3
SN1998de,00:48:06.88,+27:37:28.5
SN2006qq,05:19:50.30,-20:58:06.4
AT2017eru,16:14:42.270,+16:13:59.78
SN2005ag,14:56:43.24,+09:19:35.7
SN2007ld,20:49:29.59,+00:00:14.0
SN2004gk,12:25:33.21,+12:15:39.9
SN2006hb,05:02:01.28,-21:07:55.1
SN1999cr,13:20:18.34,-20:08:52.0
SN2004ey,21:49:07.81,+00:26:39.2
SN2007fb,23:56:52.37,+05:30:31.8
SN2002cr,14:06:37.59,-05:26:21.9
SN2013cs,13:15:14.81,-17:57:55.6
SN2018kyi,07:07:09.504,+26:19:29.73
SN2006bt,15:56:33.81,+20:03:07.2
SN2010gx,11:25:46.71,-08:49:41.4
SN1979C,12:22:58.58,+15:47:52.7
SN1999ca,10:05:22.95,-34:12:41.0
SN2004aw,11:57:50.24,+25:15:55.1
SN2008Z,09:43:15.25,+36:17:03.9
SN2018bhc,16:46:25.295,+25:25:17.25
CSS170517:105625+071058,10:56:25.423,+07:10:58.48
